Designator,Mid X,Mid Y,Rotation,Layer
A1,65.352881,-74.444322,90.0,top
D1,58.512533,-97.07,270.0,top
D10,93.24,-105.932866,180.0,top
D11,87.78,-91.100001,180.0,top
D12,87.78,-110.600001,180.0,top
D13,109.44,-105.924903,0.0,top
D14,104.499019,-105.929873,180.0,top
D15,107.28,-91.100001,180.0,top
D16,107.28,-110.600001,180.0,top
D2,54.24,-105.984316,180.0,top
D3,48.78,-91.100001,180.0,top
D4,48.78,-110.600001,180.0,top
D5,76.78,-100.33,90.0,top
D6,73.74,-105.935645,180.0,top
D7,68.28,-91.100001,180.0,top
D8,68.28,-110.600001,180.0,top
D9,96.28,-100.33,90.0,top
J1,102.0,-59.57,180.0,top
R1,105.2125,-74.25,180.0,top
R2,105.2125,-71.25,0.0,top
SW1,49.415,-98.27,180.0,top
SW2,49.415,-117.77,180.0,top
SW3,68.915,-98.27,180.0,top
SW4,68.915,-117.77,180.0,top
SW5,88.415,-98.27,180.0,top
SW6,88.415,-117.77,180.0,top
SW7,107.915,-98.27,180.0,top
SW8,107.915,-117.77,180.0,top
U1,96.75,-72.75,90.0,top
