Designator,Mid X,Mid Y,Rotation,Layer
A1,65.352881,-74.444322,90.0,top
D1,57.28,-100.33,90.0,bottom
D10,96.28,-119.68,90.0,bottom
D11,87.78,-91.100001,180.0,top
D12,87.78,-110.600001,180.0,top
D13,109.0,-102.0,180.0,bottom
D14,109.0,-121.0,180.0,bottom
D15,107.28,-91.100001,180.0,top
D16,107.28,-110.600001,180.0,top
D2,57.28,-119.68,90.0,bottom
D3,48.78,-91.100001,180.0,top
D4,48.78,-110.600001,180.0,top
D5,76.78,-100.33,90.0,bottom
D6,76.78,-119.68,90.0,bottom
D7,68.28,-91.100001,180.0,top
D8,68.28,-110.600001,180.0,top
D9,96.28,-100.33,90.0,bottom
J1,102.0,-59.57,180.0,top
R1,105.2125,-74.25,180.0,top
R2,105.2125,-71.25,0.0,top
SW1,49.415,-98.27,180.0,top
SW2,49.415,-117.77,180.0,top
SW3,68.915,-98.27,180.0,top
SW4,68.915,-117.77,180.0,top
SW5,88.415,-98.27,180.0,top
SW6,88.415,-117.77,180.0,top
SW7,107.915,-98.27,180.0,top
SW8,107.915,-117.77,180.0,top
U1,96.75,-72.75,90.0,top
